State,City,Date,Temperature (C),Humidity,Condition,Wind (kph),Rainfall (mm),Visibility (km),Timestamp,Min Temp (C),Max Temp (C),Avg Temp (C),Total Precipitation (mm)
Alabama,Birmingham,2024-09-30,10.8,95,Light rain,31.3,28.12,6.0,2024-12-11 20:30:08,9.4,11.6,10.8,28.12
Alabama,Birmingham,2024-10-01,11.2,85,Patchy rain possible,21.6,0.74,9.7,2024-12-11 20:30:08,9.9,12.9,11.2,0.74
Alabama,Birmingham,2024-10-02,11.4,79,Patchy rain possible,24.1,0.19,10.0,2024-12-11 20:30:08,8.8,14.2,11.4,0.19
Alabama,Birmingham,2024-10-03,10.8,69,Patchy rain possible,15.1,0.04,10.0,2024-12-11 20:30:08,7.9,14.2,10.8,0.04
Alabama,Birmingham,2024-10-04,11.0,72,Partly cloudy,16.6,0.0,10.0,2024-12-11 20:30:09,7.7,14.6,11.0,0.0
Alabama,Birmingham,2024-10-05,11.8,72,Partly cloudy,23.8,0.0,10.0,2024-12-11 20:30:09,8.3,16.1,11.8,0.0
Alabama,Birmingham,2024-10-06,11.7,89,Light rain shower,20.5,7.77,7.4,2024-12-11 20:30:09,10.0,13.8,11.7,7.77
Alabama,Birmingham,2024-10-07,12.7,83,Patchy rain possible,20.5,4.83,9.3,2024-12-11 20:30:09,9.6,16.7,12.7,4.83
Alabama,Birmingham,2024-10-08,12.7,88,Light rain shower,22.0,9.85,8.6,2024-12-11 20:30:10,11.1,14.7,12.7,9.85
Alabama,Birmingham,2024-10-09,11.5,90,Thundery outbreaks possible,21.2,2.94,8.8,2024-12-11 20:30:10,9.2,13.3,11.5,2.94
Alabama,Birmingham,2024-10-10,7.5,70,Patchy rain possible,21.6,0.81,10.0,2024-12-11 20:30:10,5.2,9.8,7.5,0.81
Alabama,Birmingham,2024-10-11,7.4,64,Cloudy,8.6,0.01,10.0,2024-12-11 20:30:11,4.0,11.0,7.4,0.01
Alabama,Birmingham,2024-10-12,7.7,74,Patchy light rain,22.0,1.37,10.0,2024-12-11 20:30:11,5.1,11.3,7.7,1.37
Alabama,Birmingham,2024-10-13,7.6,71,Light drizzle,23.0,1.96,8.7,2024-12-11 20:30:11,5.7,9.6,7.6,1.96
Alabama,Birmingham,2024-10-14,9.5,77,Overcast,12.6,0.0,10.0,2024-12-11 20:30:11,5.2,13.5,9.5,0.0
Alabama,Birmingham,2024-10-15,11.0,87,Overcast,14.8,0.0,10.0,2024-12-11 20:30:11,8.8,13.6,11.0,0.0
Alabama,Birmingham,2024-10-16,14.9,97,Light rain shower,23.4,9.84,8.8,2024-12-11 20:30:12,13.0,17.2,14.9,9.84
Alabama,Birmingham,2024-10-17,13.0,86,Patchy rain possible,19.4,0.71,9.3,2024-12-11 20:30:12,10.4,14.8,13.0,0.71
Alabama,Birmingham,2024-10-18,11.5,83,Partly cloudy,18.4,0.92,9.1,2024-12-11 20:30:12,8.7,15.2,11.5,0.92
Alabama,Birmingham,2024-10-19,12.2,83,Moderate rain,19.1,8.4,8.8,2024-12-11 20:30:12,9.7,14.5,12.2,8.4
Alabama,Birmingham,2024-10-20,12.5,79,Light drizzle,34.6,2.57,8.3,2024-12-11 20:30:12,10.7,15.8,12.5,2.57
Alabama,Birmingham,2024-10-21,11.5,75,Patchy rain possible,33.1,0.23,10.0,2024-12-11 20:30:13,9.6,14.1,11.5,0.23
Alabama,Birmingham,2024-10-22,11.3,83,Patchy rain possible,15.1,0.12,10.0,2024-12-11 20:30:13,8.9,15.1,11.3,0.12
Alabama,Birmingham,2024-10-23,11.6,85,Fog,19.4,0.02,8.2,2024-12-11 20:30:13,8.9,14.6,11.6,0.02
Alabama,Birmingham,2024-10-24,12.2,86,Cloudy,23.0,0.18,10.0,2024-12-11 20:30:13,9.2,15.7,12.2,0.18
Alabama,Birmingham,2024-10-25,10.0,83,Light drizzle,16.2,4.74,8.4,2024-12-11 20:30:14,6.9,12.7,10.0,4.74
Alabama,Birmingham,2024-10-26,8.1,77,Patchy rain possible,22.0,0.1,10.0,2024-12-11 20:30:14,5.5,10.3,8.1,0.1
Alabama,Birmingham,2024-10-27,11.9,83,Mist,16.6,0.01,8.6,2024-12-11 20:30:14,10.1,13.9,11.9,0.01
Alabama,Birmingham,2024-10-28,12.0,93,Patchy rain possible,22.3,2.27,8.5,2024-12-11 20:30:14,9.1,13.5,12.0,2.27
Alabama,Birmingham,2024-10-29,12.5,92,Patchy rain possible,10.8,1.29,9.0,2024-12-11 20:30:15,10.2,13.7,12.5,1.29
Alabama,Birmingham,2024-10-30,10.8,88,Mist,7.9,0.0,7.3,2024-12-11 20:30:15,8.6,14.1,10.8,0.0
Alabama,Birmingham,2024-10-31,11.3,83,Sunny,11.5,0.0,10.0,2024-12-11 20:30:15,8.9,15.1,11.3,0.0
Alabama,Birmingham,2024-11-01,9.7,79,Patchy rain possible,16.2,0.02,10.0,2024-12-11 20:30:15,7.7,11.8,9.7,0.02
Alabama,Birmingham,2024-11-02,7.4,70,Sunny,7.6,0.0,10.0,2024-12-11 20:30:15,5.3,10.1,7.4,0.0
Alabama,Birmingham,2024-11-03,9.6,83,Mist,10.8,0.0,8.3,2024-12-11 20:30:16,7.6,13.0,9.6,0.0
Alabama,Birmingham,2024-11-04,9.0,85,Overcast,11.9,0.0,10.0,2024-12-11 20:30:16,6.6,12.5,9.0,0.0
Alabama,Birmingham,2024-11-05,10.7,82,Overcast,7.2,0.0,9.7,2024-12-11 20:30:16,8.4,14.1,10.7,0.0
Alabama,Birmingham,2024-11-06,12.2,88,Mist,6.8,0.0,7.7,2024-12-11 20:30:16,10.0,15.8,12.2,0.0
Alabama,Birmingham,2024-11-07,11.6,87,Mist,12.6,0.0,7.0,2024-12-11 20:30:16,9.6,15.0,11.6,0.0
Alabama,Birmingham,2024-11-08,9.4,82,Sunny,9.4,0.0,10.0,2024-12-11 20:30:17,7.7,12.3,9.4,0.0
Alabama,Birmingham,2024-11-09,7.5,85,Mist,6.1,0.0,7.7,2024-12-11 20:30:17,5.3,10.6,7.5,0.0
Alabama,Birmingham,2024-11-10,10.7,83,Overcast,10.1,0.01,10.0,2024-12-11 20:30:17,8.4,13.6,10.7,0.01
Alabama,Birmingham,2024-11-11,8.9,77,Overcast,16.6,0.0,10.0,2024-12-11 20:30:17,6.2,11.3,8.9,0.0
Alabama,Birmingham,2024-11-12,6.7,79,Cloudy,14.8,0.0,10.0,2024-12-11 20:30:18,5.1,9.1,6.7,0.0
Alabama,Birmingham,2024-11-13,7.9,88,Cloudy,14.4,0.0,10.0,2024-12-11 20:30:18,5.0,10.7,7.9,0.0
Alabama,Birmingham,2024-11-14,9.5,92,Mist,11.5,0.0,4.9,2024-12-11 20:30:18,8.0,11.8,9.5,0.0
Alabama,Birmingham,2024-11-15,8.0,86,Cloudy,11.9,0.0,10.0,2024-12-11 20:30:18,5.7,10.6,8.0,0.0
Alabama,Birmingham,2024-11-16,7.9,84,Light drizzle,13.3,0.37,9.7,2024-12-11 20:30:18,6.4,10.1,7.9,0.37
Alabama,Birmingham,2024-11-17,6.1,76,Patchy rain possible,20.5,0.62,10.0,2024-12-11 20:30:19,3.8,7.7,6.1,0.62
Alabama,Birmingham,2024-11-18,2.2,94,Light sleet,20.9,18.3,6.5,2024-12-11 20:30:19,0.9,4.1,2.2,18.3
Alabama,Birmingham,2024-11-19,0.5,83,Partly cloudy,18.0,0.8,9.3,2024-12-11 20:30:24,-1.3,2.2,0.5,0.8
Alabama,Birmingham,2024-11-20,1.0,76,Partly cloudy,14.4,0.14,9.9,2024-12-11 20:30:24,-0.3,3.2,1.0,0.14
Alabama,Birmingham,2024-11-21,1.0,75,Light snow,28.1,0.95,9.2,2024-12-11 20:30:24,-0.3,2.8,1.0,0.95
Alabama,Birmingham,2024-11-22,2.4,86,Heavy snow,31.7,5.9,7.4,2024-12-11 20:30:26,1.3,4.0,2.4,5.9
Alabama,Birmingham,2024-11-23,7.6,89,Light rain,38.9,13.45,7.6,2024-12-11 20:30:26,1.8,13.3,7.6,13.45
Alabama,Birmingham,2024-11-24,12.7,87,Light rain shower,47.9,16.66,6.3,2024-12-11 20:30:26,9.3,14.9,12.7,16.66
Alabama,Birmingham,2024-11-25,7.2,74,Light drizzle,32.8,0.43,9.7,2024-12-11 20:30:26,5.0,9.0,7.2,0.43
Alabama,Birmingham,2024-11-26,4.8,80,Sunny,18.4,0.0,10.0,2024-12-11 20:30:27,3.5,7.1,4.8,0.0
Alabama,Birmingham,2024-11-27,4.0,86,Light sleet,14.0,2.1,9.2,2024-12-11 20:30:27,2.5,5.5,4.0,2.1
Alabama,Birmingham,2024-11-28,2.9,84,Overcast,15.8,0.0,10.0,2024-12-11 20:30:27,1.7,4.7,2.9,0.0
Alabama,Birmingham,2024-11-29,6.1,79,Overcast,21.6,0.01,10.0,2024-12-11 20:30:27,4.2,8.1,6.1,0.01
Alabama,Birmingham,2024-11-30,10.4,91,Overcast,21.2,0.04,10.0,2024-12-11 20:30:27,8.0,12.2,10.4,0.04
Alabama,Birmingham,2024-12-01,11.8,88,Light rain,27.0,3.59,9.0,2024-12-11 20:30:28,9.7,12.8,11.8,3.59
Alabama,Birmingham,2024-12-02,7.2,82,Light drizzle,21.6,1.22,9.7,2024-12-11 20:30:28,4.6,9.9,7.2,1.22
Alabama,Birmingham,2024-12-03,2.8,73,Overcast,15.5,0.01,10.0,2024-12-11 20:30:28,1.5,4.0,2.8,0.01
Alabama,Birmingham,2024-12-04,6.0,91,Light drizzle,21.6,2.42,8.0,2024-12-11 20:30:28,4.0,9.8,6.0,2.42
Alabama,Birmingham,2024-12-05,11.0,85,Light drizzle,39.6,2.93,9.6,2024-12-11 20:30:29,8.0,12.9,11.0,2.93
Alabama,Birmingham,2024-12-06,6.5,74,Patchy rain possible,37.4,3.14,9.3,2024-12-11 20:30:29,5.4,9.1,6.5,3.14
Alabama,Birmingham,2024-12-07,6.6,89,Light rain shower,47.9,10.51,6.1,2024-12-11 20:30:29,3.7,11.6,6.6,10.51
Alabama,Birmingham,2024-12-08,5.4,88,Light rain,41.4,6.43,6.9,2024-12-11 20:30:29,4.2,6.4,5.4,6.43
Alabama,Birmingham,2024-12-09,5.8,78,Patchy rain possible,25.2,0.24,10.0,2024-12-11 20:30:30,5.2,6.5,5.8,0.24
Alabama,Birmingham,2024-12-10,5.8,74,Overcast,22.3,0.0,10.0,2024-12-11 20:30:30,3.5,6.4,5.8,0.0
Alabama,Birmingham,2024-12-11,4.3,80,Overcast,12.6,0.0,10.0,2024-12-11 20:30:30,2.3,5.9,4.3,0.0
Alabama,Montgomery,2024-09-12,21.4,95,Light rain shower,33.1,32.68,9.3,2024-12-11 20:30:30,20.4,22.2,21.4,32.68
Alabama,Montgomery,2024-09-13,23.9,84,Light rain shower,18.4,12.84,9.6,2024-12-11 20:30:31,21.4,28.8,23.9,12.84
Alabama,Montgomery,2024-09-14,22.1,84,Light drizzle,10.4,1.55,7.1,2024-12-11 20:30:31,19.7,26.0,22.1,1.55
Alabama,Montgomery,2024-09-15,22.3,88,Patchy rain possible,24.1,4.62,9.0,2024-12-11 20:30:31,21.0,24.4,22.3,4.62
Alabama,Montgomery,2024-09-16,22.9,78,Mist,16.9,0.86,8.7,2024-12-11 20:30:31,20.4,26.9,22.9,0.86
Alabama,Montgomery,2024-09-17,25.6,79,Cloudy,9.0,0.0,8.2,2024-12-11 20:30:31,21.9,31.0,25.6,0.0
Alabama,Montgomery,2024-09-18,26.7,68,Sunny,10.4,0.0,10.0,2024-12-11 20:30:32,20.6,33.1,26.7,0.0
Alabama,Montgomery,2024-09-19,27.0,68,Sunny,8.6,0.0,10.0,2024-12-11 20:30:32,21.1,33.5,27.0,0.0
Alabama,Montgomery,2024-09-20,28.2,64,Sunny,7.6,0.0,10.0,2024-12-11 20:30:32,22.7,34.5,28.2,0.0
Alabama,Montgomery,2024-09-21,27.2,71,Mist,8.6,0.0,10.0,2024-12-11 20:30:32,22.6,32.4,27.2,0.0
Alabama,Montgomery,2024-09-22,28.8,67,Mist,9.4,0.0,10.0,2024-12-11 20:30:33,22.9,34.4,28.8,0.0
Alabama,Montgomery,2024-09-23,29.3,61,Partly cloudy,8.3,0.0,10.0,2024-12-11 20:30:33,23.4,35.4,29.3,0.0
Alabama,Montgomery,2024-09-24,29.1,61,Overcast,12.6,0.0,10.0,2024-12-11 20:30:33,23.8,33.5,29.1,0.0
Alabama,Montgomery,2024-09-25,26.0,84,Moderate or heavy rain shower,25.2,39.26,9.1,2024-12-11 20:30:33,23.6,29.1,26.0,39.26
Alabama,Montgomery,2024-09-26,22.1,97,Heavy rain,19.1,93.08,9.1,2024-12-11 20:30:33,21.7,22.8,22.1,93.08
Alabama,Montgomery,2024-09-27,21.7,87,Heavy rain,26.6,117.67,10.0,2024-12-11 20:30:34,19.4,26.1,21.7,117.67
Alabama,Montgomery,2024-09-28,23.5,69,Overcast,22.0,0.0,10.0,2024-12-11 20:30:34,18.9,29.6,23.5,0.0
Alabama,Montgomery,2024-09-29,25.8,65,Overcast,13.7,0.0,10.0,2024-12-11 20:30:34,21.9,31.3,25.8,0.0
Alabama,Montgomery,2024-09-30,25.1,70,Sunny,11.9,0.0,10.0,2024-12-11 20:30:34,20.5,29.4,25.1,0.0
Alabama,Montgomery,2024-10-01,25.5,71,Partly cloudy,9.7,0.0,10.0,2024-12-11 20:30:34,19.9,30.9,25.5,0.0
Alabama,Montgomery,2024-10-02,26.3,70,Sunny,10.1,0.0,10.0,2024-12-11 20:30:35,21.1,32.5,26.3,0.0
Alabama,Montgomery,2024-10-03,25.1,74,Cloudy,17.6,1.59,8.6,2024-12-11 20:30:35,21.5,29.5,25.1,1.59
Alabama,Montgomery,2024-10-04,24.2,81,Overcast,13.7,0.0,9.2,2024-12-11 20:30:35,23.2,25.4,24.2,0.0
Alabama,Montgomery,2024-10-05,25.4,75,Cloudy,16.2,0.0,7.3,2024-12-11 20:30:35,21.0,31.2,25.4,0.0
Alabama,Montgomery,2024-10-06,24.3,73,Partly cloudy,18.7,0.0,9.8,2024-12-11 20:30:35,19.4,28.8,24.3,0.0
Alabama,Montgomery,2024-10-07,24.2,74,Fog,11.5,0.0,8.3,2024-12-11 20:30:36,19.2,30.5,24.2,0.0
Alabama,Montgomery,2024-10-08,24.3,56,Cloudy,11.2,0.0,10.0,2024-12-11 20:30:36,17.8,31.3,24.3,0.0
Alabama,Montgomery,2024-10-09,22.8,63,Cloudy,18.7,0.0,10.0,2024-12-11 20:30:36,17.6,29.3,22.8,0.0
Alabama,Montgomery,2024-10-10,22.1,50,Sunny,19.1,0.0,10.0,2024-12-11 20:30:36,15.8,28.7,22.1,0.0
Alabama,Montgomery,2024-10-11,20.5,50,Sunny,11.9,0.0,10.0,2024-12-11 20:30:36,14.5,26.5,20.5,0.0
Alabama,Montgomery,2024-10-12,20.3,57,Sunny,6.8,0.0,10.0,2024-12-11 20:30:37,12.7,27.5,20.3,0.0
Alabama,Montgomery,2024-10-13,22.2,58,Sunny,11.5,0.0,10.0,2024-12-11 20:30:37,14.1,31.2,22.2,0.0
Alabama,Montgomery,2024-10-14,22.6,63,Sunny,15.5,0.0,10.0,2024-12-11 20:30:37,17.3,29.9,22.6,0.0
Alabama,Montgomery,2024-10-15,17.1,44,Sunny,25.2,0.0,10.0,2024-12-11 20:30:37,11.5,24.0,17.1,0.0
Alabama,Montgomery,2024-10-16,13.5,52,Sunny,21.2,0.0,10.0,2024-12-11 20:30:38,7.1,19.9,13.5,0.0
Alabama,Montgomery,2024-10-17,13.2,50,Sunny,10.1,0.0,10.0,2024-12-11 20:30:38,6.5,19.6,13.2,0.0
Alabama,Montgomery,2024-10-18,15.0,56,Sunny,13.3,0.0,10.0,2024-12-11 20:30:38,7.2,23.2,15.0,0.0
Alabama,Montgomery,2024-10-19,16.3,53,Cloudy,17.3,0.0,10.0,2024-12-11 20:30:38,9.6,24.5,16.3,0.0
Alabama,Montgomery,2024-10-20,17.8,50,Sunny,10.8,0.0,10.0,2024-12-11 20:30:39,10.2,26.3,17.8,0.0
Alabama,Montgomery,2024-10-21,19.4,50,Sunny,12.6,0.0,10.0,2024-12-11 20:30:39,11.9,27.6,19.4,0.0
Alabama,Montgomery,2024-10-22,19.8,65,Partly cloudy,11.2,0.0,10.0,2024-12-11 20:30:39,10.1,28.8,19.8,0.0
Alabama,Montgomery,2024-10-23,21.4,73,Fog,7.9,0.0,10.0,2024-12-11 20:30:39,14.3,28.9,21.4,0.0
Alabama,Montgomery,2024-10-24,22.6,66,Mist,8.6,0.0,10.0,2024-12-11 20:30:39,14.8,30.7,22.6,0.0
Alabama,Montgomery,2024-10-25,22.8,60,Sunny,9.0,0.0,10.0,2024-12-11 20:30:40,16.1,30.5,22.8,0.0
Alabama,Montgomery,2024-10-26,22.9,55,Sunny,7.2,0.0,10.0,2024-12-11 20:30:40,16.3,31.0,22.9,0.0
Alabama,Montgomery,2024-10-27,22.5,57,Patchy light drizzle,17.6,2.67,9.4,2024-12-11 20:30:40,16.9,29.8,22.5,2.67
Alabama,Montgomery,2024-10-28,19.2,79,Overcast,15.1,0.0,10.0,2024-12-11 20:30:40,17.0,22.6,19.2,0.0
Alabama,Montgomery,2024-10-29,20.7,76,Overcast,17.6,0.0,10.0,2024-12-11 20:30:41,17.0,27.4,20.7,0.0
Alabama,Montgomery,2024-10-30,21.8,72,Overcast,20.2,0.0,9.7,2024-12-11 20:30:41,17.5,26.9,21.8,0.0
Alabama,Montgomery,2024-10-31,22.3,66,Cloudy,18.0,0.0,10.0,2024-12-11 20:30:41,18.4,28.1,22.3,0.0
Alabama,Montgomery,2024-11-01,21.9,70,Cloudy,14.0,0.01,10.0,2024-12-11 20:30:41,16.9,28.5,21.9,0.01
Alabama,Montgomery,2024-11-02,22.0,68,Overcast,16.6,0.0,10.0,2024-12-11 20:30:41,16.6,27.6,22.0,0.0
Alabama,Montgomery,2024-11-03,20.1,80,Overcast,22.3,0.0,10.0,2024-12-11 20:30:42,19.0,21.2,20.1,0.0
Alabama,Montgomery,2024-11-04,21.9,66,Overcast,22.0,0.0,10.0,2024-12-11 20:30:42,19.0,26.1,21.9,0.0
Alabama,Montgomery,2024-11-05,22.3,74,Overcast,20.5,0.0,10.0,2024-12-11 20:30:42,18.7,27.1,22.3,0.0
Alabama,Montgomery,2024-11-06,21.7,91,Moderate or heavy rain shower,18.7,119.35,9.3,2024-12-11 20:30:42,20.8,22.6,21.7,119.35
Alabama,Montgomery,2024-11-07,20.7,94,Moderate or heavy rain shower,20.2,31.35,8.3,2024-12-11 20:30:42,19.3,21.6,20.7,31.35
Alabama,Montgomery,2024-11-08,21.0,92,Light rain shower,22.7,6.9,8.5,2024-12-11 20:30:43,19.5,21.6,21.0,6.9
Alabama,Montgomery,2024-11-09,22.9,74,Overcast,22.3,0.0,10.0,2024-12-11 20:30:43,20.9,24.1,22.9,0.0
Alabama,Montgomery,2024-11-10,20.6,72,Overcast,18.0,0.0,10.0,2024-12-11 20:30:43,18.8,22.1,20.6,0.0
Alabama,Montgomery,2024-11-11,23.2,77,Cloudy,10.4,0.0,8.3,2024-12-11 20:30:43,18.3,29.5,23.2,0.0
Alabama,Montgomery,2024-11-12,20.4,74,Cloudy,11.5,0.0,10.0,2024-12-11 20:30:44,17.9,24.0,20.4,0.0
Alabama,Montgomery,2024-11-13,17.0,71,Overcast,23.0,0.0,9.7,2024-12-11 20:30:44,16.1,18.0,17.0,0.0
Alabama,Montgomery,2024-11-14,17.2,89,Moderate or heavy rain shower,24.8,58.77,9.3,2024-12-11 20:30:44,16.1,18.5,17.2,58.77
Alabama,Montgomery,2024-11-15,12.7,78,Overcast,16.6,0.0,10.0,2024-12-11 20:30:44,9.9,18.2,12.7,0.0
Alabama,Montgomery,2024-11-16,13.1,80,Fog,8.3,0.0,10.0,2024-12-11 20:30:44,5.7,20.6,13.1,0.0
Alabama,Montgomery,2024-11-17,15.5,77,Fog,7.9,0.0,10.0,2024-12-11 20:30:45,8.6,23.1,15.5,0.0
Alabama,Montgomery,2024-11-18,16.8,75,Mist,13.7,0.0,10.0,2024-12-11 20:30:45,11.6,24.3,16.8,0.0
Alabama,Montgomery,2024-11-19,21.8,66,Patchy rain possible,19.8,0.05,10.0,2024-12-11 20:30:45,18.1,26.2,21.8,0.05
Alabama,Montgomery,2024-11-20,19.1,73,Fog,25.2,0.0,6.8,2024-12-11 20:30:45,12.7,23.6,19.1,0.0
Alabama,Montgomery,2024-11-21,11.2,46,Sunny,27.4,0.0,10.0,2024-12-11 20:30:46,6.2,17.6,11.2,0.0
Alabama,Montgomery,2024-11-22,8.2,60,Sunny,21.6,0.0,10.0,2024-12-11 20:30:46,3.2,14.8,8.2,0.0
Alabama,Montgomery,2024-11-23,7.6,72,Sunny,13.0,0.0,10.0,2024-12-11 20:30:46,2.9,13.0,7.6,0.0
Alabama,Montgomery,2024-11-24,11.3,74,Fog,9.4,0.0,10.0,2024-12-11 20:30:46,4.9,18.6,11.3,0.0
Alabama,Montgomery,2024-11-25,16.1,79,Mist,18.4,0.0,8.3,2024-12-11 20:30:46,10.4,21.4,16.1,0.0
Alabama,Montgomery,2024-11-26,15.5,85,Mist,14.0,0.0,9.0,2024-12-11 20:30:47,10.8,17.3,15.5,0.0
Alabama,Montgomery,2024-11-27,12.3,86,Mist,16.9,0.0,10.0,2024-12-11 20:30:47,8.9,15.4,12.3,0.0
Alabama,Montgomery,2024-11-28,17.6,95,Moderate or heavy rain with thunder,22.3,57.67,9.0,2024-12-11 20:30:47,14.3,20.2,17.6,57.67
Alabama,Montgomery,2024-11-29,9.1,63,Overcast,19.1,0.0,10.0,2024-12-11 20:30:47,5.9,13.6,9.1,0.0
Alabama,Montgomery,2024-11-30,6.6,49,Partly cloudy,11.2,0.0,10.0,2024-12-11 20:30:48,1.5,12.3,6.6,0.0
Alabama,Montgomery,2024-12-01,8.2,52,Sunny,13.0,0.0,10.0,2024-12-11 20:30:48,2.0,15.6,8.2,0.0
Alabama,Montgomery,2024-12-02,6.7,60,Sunny,13.0,0.0,10.0,2024-12-11 20:30:48,2.1,11.6,6.7,0.0
Alabama,Montgomery,2024-12-03,4.1,58,Sunny,13.7,0.0,10.0,2024-12-11 20:30:48,0.4,7.5,4.1,0.0
Alabama,Montgomery,2024-12-04,5.8,47,Overcast,11.5,0.0,10.0,2024-12-11 20:30:48,-0.2,11.4,5.8,0.0
Alabama,Montgomery,2024-12-05,9.1,76,Heavy rain,17.6,72.29,8.2,2024-12-11 20:30:49,3.5,12.2,9.1,72.29
Alabama,Montgomery,2024-12-06,3.2,47,Sunny,15.5,0.0,10.0,2024-12-11 20:30:49,-1.5,9.7,3.2,0.0
Alabama,Montgomery,2024-12-07,5.9,33,Partly cloudy,7.9,0.0,10.0,2024-12-11 20:30:49,0.0,12.5,5.9,0.0
Alabama,Montgomery,2024-12-08,8.9,48,Overcast,13.3,0.0,8.3,2024-12-11 20:30:49,4.3,13.2,8.9,0.0
Alabama,Montgomery,2024-12-09,15.8,88,Moderate or heavy rain shower,21.2,22.93,6.4,2024-12-11 20:30:50,12.8,19.4,15.8,22.93
Alabama,Montgomery,2024-12-10,18.1,91,Moderate or heavy rain shower,15.1,14.82,7.1,2024-12-11 20:30:50,12.6,21.5,18.1,14.82
Alabama,Montgomery,2024-12-11,7.7,60,Cloudy,29.2,0.0,9.7,2024-12-11 20:30:50,4.9,10.8,7.7,0.0
Alabama,Huntsville,2024-09-12,18.9,82,Light rain shower,43.2,15.01,8.8,2024-12-11 20:30:50,17.5,21.2,18.9,15.01
Alabama,Huntsville,2024-09-13,19.7,94,Moderate or heavy rain shower,31.0,18.92,9.8,2024-12-11 20:30:51,19.1,20.3,19.7,18.92
Alabama,Huntsville,2024-09-14,20.2,95,Light rain shower,28.1,59.37,8.9,2024-12-11 20:30:51,19.4,20.8,20.2,59.37
Alabama,Huntsville,2024-09-15,22.6,72,Light rain shower,25.2,0.72,10.0,2024-12-11 20:30:51,19.7,26.4,22.6,0.72
Alabama,Huntsville,2024-09-16,23.1,59,Partly cloudy,13.0,0.0,10.0,2024-12-11 20:30:51,18.3,28.8,23.1,0.0
Alabama,Huntsville,2024-09-17,24.0,68,Cloudy,9.4,0.0,10.0,2024-12-11 20:30:51,18.3,30.6,24.0,0.0
Alabama,Huntsville,2024-09-18,22.5,77,Partly cloudy,13.0,0.0,10.0,2024-12-11 20:30:52,18.7,27.6,22.5,0.0
Alabama,Huntsville,2024-09-19,24.2,70,Fog,11.5,0.0,10.0,2024-12-11 20:30:52,17.5,32.2,24.2,0.0
Alabama,Huntsville,2024-09-20,25.6,67,Partly cloudy,9.0,0.0,10.0,2024-12-11 20:30:52,19.1,32.5,25.6,0.0
Alabama,Huntsville,2024-09-21,26.9,61,Overcast,8.6,0.0,10.0,2024-12-11 20:30:52,20.7,33.8,26.9,0.0
Alabama,Huntsville,2024-09-22,27.8,60,Cloudy,14.8,0.0,10.0,2024-12-11 20:30:53,22.3,34.2,27.8,0.0
